id,ticker_symbol,company_name,cik_number
1,a,"AGILENT TECHNOLOGIES, INC. ",1090872
2,aa,Alcoa Corp ,1675149
3,aaau,Perth Mint Physical Gold ETF ,1708646
4,aacg,ATA Creativity Global ,1420529
5,aach,"AAC Holdings, Inc. ",1606180
6,aacqu,Artius Acquisition Inc. ,1802457
7,aagh,America Great Health ,1098009
8,aal,American Airlines Group Inc. ,6201
9,aamc,Altisource Asset Management Corp ,1555074
10,aame,ATLANTIC AMERICAN CORP ,8177
11,aan,AARON'S INC ,706688
12,aanc,Andover National Corp ,1712543
13,aaoi,"APPLIED OPTOELECTRONICS, INC. ",1158114
14,aaon,"AAON, INC. ",824142
15,aap,ADVANCE AUTO PARTS INC ,1158449
16,aapl,Apple Inc. ,320193
17,aasp,ALL AMERICAN SPORTPARK INC ,930245
18,aat,"American Assets Trust, Inc. ",1500217
19,aau,ALMADEN MINERALS LTD ,1015647
20,aaww,ATLAS AIR WORLDWIDE HOLDINGS INC ,1135185
21,aaxn,"AXON ENTERPRISE, INC. ",1069183
22,ab,ALLIANCEBERNSTEIN HOLDING L.P. ,825313
23,abax,ABAXIS INC ,881890
24,abb,ABB LTD ,1091587
25,abbv,AbbVie Inc. ,1551152
26,abc,AMERISOURCEBERGEN CORP ,1140859
27,abcb,Ameris Bancorp ,351569
28,abcd,"CAMBIUM LEARNING GROUP, INC. ",1466815
29,abce,"ABCO Energy, Inc. ",1300938
30,abco,ADVISORY BOARD CO ,1157377
31,abcp,AMBASE CORP ,20639
32,abdc,Alcentra Capital Corp ,1578620
33,abeo,ABEONA THERAPEUTICS INC. ,318306
34,abev,AMBEV S.A. ,1565025
35,abg,ASBURY AUTOMOTIVE GROUP INC ,1144980
36,abilf,Ability Inc. ,1652866
37,abio,"ARCA biopharma, Inc. ",907654
38,abm,ABM INDUSTRIES INC /DE/ ,771497
39,abmc,AMERICAN BIO MEDICA CORP ,896747
40,abmd,ABIOMED INC ,815094
41,abml,AMERICAN BATTERY METALS CORP ,1576873
42,abmt,Advanced Biomedical Technologies Inc. ,1385799
43,abqq,AB INTERNATIONAL GROUP CORP. ,1605331
44,abr,ARBOR REALTY TRUST INC ,1253986
45,abr-pa,ARBOR REALTY TRUST INC ,1253986
46,abr-pb,ARBOR REALTY TRUST INC ,1253986
47,abr-pc,ARBOR REALTY TRUST INC ,1253986
48,abt,ABBOTT LABORATORIES ,1800
49,abti,ALTEROLA BIOTECH INC. ,1442999
50,abtx,"Allegiance Bancshares, Inc. ",1642081
51,abus,Arbutus Biopharma Corp ,1447028
52,abvc,American BriVision (Holding) Corp ,1173313
53,abvn,"ABV CONSULTING, INC. ",1607450
54,abwn,AIRBORNE WIRELESS NETWORK ,1537258
55,ac,"Associated Capital Group, Inc. ",1642122
56,aca,"Arcosa, Inc. ",1739445
57,acad,ACADIA PHARMACEUTICALS INC ,1070494
58,acam,Acamar Partners Acquisition Corp. ,1759008
59,acamu,Acamar Partners Acquisition Corp. ,1759008
60,acamw,Acamar Partners Acquisition Corp. ,1759008
61,acan,"AmeriCann, Inc. ",1508348
62,acb,AURORA CANNABIS INC ,1683541
63,acbi,"Atlantic Capital Bancshares, Inc. ",1461755
64,acbm,"ACRO BIOMEDICAL CO., LTD. ",1622996
